,Song,Artist,Tempo,Valence,Loudness,Energy,Key,Rank
0,"Thank U, Next",Ariana Grande,106.966,0.412,-5.634,0.653,1,1
1,Without Me,Halsey,136.041,0.533,-7.05,0.488,6,2
2,All I Want For Christmas Is You,Mariah Carey,150.277,0.346,-7.462,0.625,7,3
3,Sicko Mode,Travis Scott,155.008,0.446,-3.714,0.73,8,4
4,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,89.911,0.913,-5.574,0.479,2,5
5,High Hopes,Panic! At The Disco,82.014,0.681,-2.729,0.904,5,6
6,Happier,Marshmello & Bastille,100.015,0.671,-2.749,0.792,5,7
7,Jingle Bell Rock,Bobby Helms,119.705,0.806,-8.463,0.424,2,8
8,Rockin' Around The Christmas Tree,Brenda Lee,67.196,0.898,-8.749,0.472,8,9
9,A Holly Jolly Christmas,Burl Ives,140.467,0.888,-13.056,0.375,0,10
10,The Christmas Song (Merry Christmas To You),Nat King Cole,78.696,0.209,-15.231,0.21,1,11
11,Drip Too Hard,Lil Baby & Gunna,112.511,0.389,-6.903,0.662,1,12
12,Girls Like You,Maroon 5 Featuring Cardi B,124.959,0.448,-6.825,0.541,0,14
13,ZEZE,Kodak Black Featuring Travis Scott & Offset,98.043,0.504,-5.788,0.603,8,15
14,Rudolph The Red-Nosed Reindeer,Gene Autry,142.11,0.644,-14.056,0.159,8,16
15,Mo Bamba,Sheck Wes,146.034,0.261,-5.266,0.625,4,17
16,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,143.01,0.367,-5.144,0.578,4,18
17,Money,Cardi B,130.003,0.219,-6.508,0.59,8,19
18,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,134.005,0.701,-14.014,0.24,1,20
19,Eastside,"benny blanco, Halsey & Khalid",89.391,0.319,-7.648,0.68,6,21
20,Breathin,Ariana Grande,100.049,0.364,-5.413,0.656,8,22
21,Better Now,Post Malone,145.038,0.341,-5.804,0.578,10,23
22,Youngblood,5 Seconds Of Summer,120.274,0.152,-5.114,0.854,7,24
23,Last Christmas,Wham!,106.856,0.861,-7.964,0.618,11,25
24,Sleigh Ride,The Ronettes,91.735,0.852,-7.013,0.772,2,26
25,Lucid Dreams,Juice WRLD,83.903,0.218,-7.23,0.566,6,27
26,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,96.628,0.976,-11.99,0.372,1,28
27,Feliz Navidad,Jose Feliciano,148.82,0.963,-9.004,0.831,2,29
28,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",95.881,0.617,-4.167,0.801,8,30
29,MIA,Bad Bunny Featuring Drake,97.062,0.158,-6.349,0.539,6,31
30,Leave Me Alone,Flipp Dinero,150.024,0.742,-2.806,0.743,7,33
31,White Christmas,Bing Crosby,130.503,0.247,-16.485,0.158,9,34
32,Going Bad,Meek Mill Featuring Drake,86.003,0.544,-6.365,0.496,4,36
33,A Lot,21 Savage,145.972,0.274,-7.643,0.636,1,37
34,Trip,Ella Mai,79.882,0.358,-5.628,0.61,11,38
35,I Like It,"Cardi B, Bad Bunny & J Balvin",136.048,0.65,-3.998,0.726,5,39
36,Blue Christmas,Elvis Presley,94.519,0.58,-16.661,0.27,4,40
37,Speechless,Dan + Shay,135.929,0.386,-5.968,0.438,1,41
38,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,146.539,0.395,-11.076,0.607,2,42
39,Christmas (Baby Please Come Home),Darlene Love,126.322,0.356,-7.146,0.76,3,43
40,Underneath The Tree,Kelly Clarkson,159.876,0.689,-5.438,0.812,8,44
41,Run Rudolph Run,Chuck Berry,152.132,0.957,-10.609,0.715,7,45
